PERIOD,ONE_FAMILY_TOTAL,PURPOSE_OF_CONSTRUCTION_BUILT_FOR_SALE_TOTAL,PURPOSE_OF_CONSTRUCTION_BUILT_FOR_SALE_FEE_SIMPLE,SQUARE_FEET_FLOOR_AREA_AVERAGE,TOTAL_UNITS_IN_BUILDINGS_2PLUS,PURPOSE_OF_CONSTRUCTION_FOR_SALE,PURPOSE_OF_CONSTRUCTION_FOR_RENT,QUARTERLY_AVG_HOME_PRICE_INDEX,QUARTERLY_AVG_MORTGAGE_RATE,UNEMPLOYMENT_RATE,CONSUMER_PRICE_INDEX
1974Q1,178,117,,,141,43,98,,8.46,5.133333333,47.3
1974Q2,298,165,,,158,48,110,,8.89,5.2,48.566666667
1974Q3,244,122,,,92,24,68,,9.61,5.633333333,49.933333333
1974Q4,168,97,,,59,15,43,,9.79,6.6,51.466666667
1975Q1,142,91,,,49,12,37,,9.17,8.266666667,52.566666667
1975Q2,261,153,,,63,12,51,,8.88,8.866666667,53.2
1975Q3,268,150,,,81,11,70,,8.98,8.466666667,54.266666667
1975Q4,221,138,,,75,10,65,,9.16,8.3,55.266666667
1976Q1,219,147,,,62,10,52,,8.87,7.733333333,55.9
1976Q2,340,199,,,100,17,83,,8.78,7.566666667,56.4
1976Q3,334,189,,,101,16,84,,8.97,7.733333333,57.3
1976Q4,270,170,,,113,19,94,,8.85,7.766666667,58.133333333
1977Q1,269,184,,,99,15,84,,8.69,7.5,59.2
1977Q2,440,264,,,141,25,116,,8.81,7.133333333,60.233333333
1977Q3,410,247,,,151,22,129,,8.93,6.9,61.066666667
1977Q4,332,209,,,145,27,118,,8.94,6.666666667,61.966666667
1978Q1,258,178,,,105,22,83,,9.13,6.333333333,63.033333333
1978Q2,449,275,,,175,36,139,,9.56,6,64.466666667
1978Q3,404,242,,,160,38,122,,9.76,6.033333333,65.966666667
1978Q4,323,206,,,147,35,112,,10.12,5.9,67.5
1979Q1,227,156,,,99,33,66,,10.41,5.866666667,69.2
1979Q2,387,235,,,155,50,105,,10.76,5.7,71.4
1979Q3,343,203,,,155,49,106,,11.16,5.866666667,73.7
1979Q4,238,148,,,142,41,101,,12.48,5.966666667,76.033333333
1980Q1,151,102,,,87,33,54,,13.68,6.3,79.033333333
1980Q2,203,114,,,101,34,67,,14.42,7.333333333,81.7
1980Q3,273,170,,,116,45,71,,12.64,7.666666667,83.233333333
