Period,Total_Units_in_Buildings_2+,Purpose_of_Construction_For_Sale,Purpose_of_Construction_For_Rent,Number_of_Units_2_to_4,Number_of_Units_5_to_9,Number_of_Units_10_to_19,Number_of_Units_20_or_More,Square_Feet_Per_Unit_Median,Square_Feet_Per_Unit_Average
1974Q1,141,43,98,19,,,,,
1974Q2,158,48,110,24,,,,,
1974Q3,92,24,68,16,,,,,
1974Q4,59,15,43,10,,,,,
1975Q1,49,12,37,10,,,,,
1975Q2,63,12,51,15,,,,,
1975Q3,81,11,70,19,,,,,
1975Q4,75,10,65,19,,,,,
1976Q1,62,10,52,16,,,,,
1976Q2,100,17,83,24,,,,,
1976Q3,101,16,84,23,,,,,
1976Q4,113,19,94,23,,,,,
1977Q1,99,15,84,24,,,,,
1977Q2,141,25,116,33,,,,,
1977Q3,151,22,129,33,,,,,
1977Q4,145,27,118,31,,,,,
1978Q1,105,22,83,23,,,,,
1978Q2,175,36,139,36,,,,,
1978Q3,160,38,122,34,,,,,
1978Q4,147,35,112,32,,,,,
1979Q1,99,33,66,22,,,,,
1979Q2,155,50,105,34,,,,,
1979Q3,155,49,106,36,,,,,
1979Q4,142,41,101,29,,,,,
1980Q1,87,33,54,20,,,,,
1980Q2,101,34,67,25,,,,,
1980Q3,116,45,71,32,,,,,
1980Q4,136,52,85,32,,,,,
1981Q1,98,44,54,23,,,,,
1981Q2,109,46,63,27,,,,,
1981Q3,86,37,49,21,,,,,
1981Q4,87,32,55,20,,,,,
1982Q1,63,27,36,15,,,,,
1982Q2,96,34,62,22,,,,,
1982Q3,123,40,82,25,,,,,
1982Q4,118,39,79,18,,,,,
1983Q1,119,36,83,21,,,,,
1983Q2,162,52,110,31,,,,,
1983Q3,186,61,124,33,,,,,
1983Q4,169,61,107,28,,,,,
1984Q1,140,47,93,27,,,,,
1984Q2,205,63,142,35,,,,,
1984Q3,178,55,123,32,,,,,
1984Q4,143,42,101,28,,,,,
1985Q1,131,36,95,20,,,,,
1985Q2,191,44,147,29,,,,,
1985Q3,174,36,139,25,,,,,
1985Q4,174,39,135,19,,,,,
1986Q1,140,32,107,20,,,,,
1986Q2,189,41,148,23,,,,,
1986Q3,164,40,125,21,,,,,
1986Q4,133,30,103,20,,,,,
1987Q1,108,26,81,17,,,,,
1987Q2,134,41,93,20,,,,,
1987Q3,127,31,96,16,,,,,
1987Q4,106,32,75,13,,,,,
1988Q1,77,24,54,12,,,,,
1988Q2,120,27,93,16,,,,,
1988Q3,112,25,87,16,,,,,
1988Q4,98,24,74,15,,,,,
1989Q1,91,19,72,13,,,,,
1989Q2,102,24,79,15,,,,,
1989Q3,94,22,72,15,,,,,
1989Q4,85,22,63,13,,,,,
1990Q1,78,14,64,9,,,,,
1990Q2,87,20,67,13,,,,,
1990Q3,74,12,62,8,,,,,
1990Q4,59,10,49,7,,,,,
1991Q1,39,8,31,6,,,,,
1991Q2,47,12,34,9,,,,,
1991Q3,45,12,33,10,,,,,
1991Q4,43,9,34,10,,,,,
1992Q1,44,10,34,7,,,,,
1992Q2,44,11,34,10,,,,,
1992Q3,46,10,36,7,,,,,
1992Q4,36,11,25,6,,,,,
1993Q1,27,10,18,5,,,,,
1993Q2,43,11,32,8,,,,,
1993Q3,46,12,34,9,,,,,
1993Q4,45,11,34,7,,,,,
1994Q1,41,12,30,6,,,,,
1994Q2,69,14,54,8,,,,,
1994Q3,72,16,56,10,,,,,
1994Q4,77,12,64,10,,,,,
1995Q1,56,11,45,8,,,,,
1995Q2,74,15,59,9,,,,,
1995Q3,79,13,66,10,,,,,
1995Q4,69,12,57,7,,,,,
1996Q1,63,11,52,5,,,,,
1996Q2,84,18,67,15,,,,,
1996Q3,87,18,68,11,,,,,
1996Q4,83,16,67,14,,,,,
1997Q1,59,13,46,8,,,,,
1997Q2,94,18,77,11,,,,,
1997Q3,86,17,69,11,,,,,
1997Q4,101,13,88,14,,,,,
1998Q1,67,13,53,10,,,,,
1998Q2,87,16,72,13,,,,,
1998Q3,97,16,81,11,,,,,
1998Q4,95,16,79,9,,,,,
1999Q1,77,17,60,6,9,22,40,1053.0,1138.0
1999Q2,80,17,63,9,17,19,35,1049.0,1120.0
1999Q3,99,17,82,10,16,28,45,1049.0,1127.0
1999Q4,83,16,66,7,11,24,41,1063.0,1122.0
2000Q1,79,17,62,7,9,17,47,1076.0,1197.0
2000Q2,92,20,72,10,13,19,50,1117.0,1196.0
2000Q3,85,20,65,12,12,21,40,1091.0,1168.0
2000Q4,82,18,64,10,10,23,39,1071.0,1138.0
2001Q1,74,17,57,8,11,18,37,1113.0,1174.0
2001Q2,87,19,67,11,9,23,44,1098.0,1199.0
2001Q3,88,18,70,10,9,18,51,1080.0,1186.0
2001Q4,81,17,64,8,10,17,46,1078.0,1159.0
2002Q1,76,15,61,11,9,18,38,1080.0,1159.0
2002Q2,89,20,69,10,16,16,47,1055.0,1149.0
2002Q3,98,22,76,9,11,21,58,1120.0,1236.0
2002Q4,84,16,68,9,13,20,42,1108.0,1212.0
2003Q1,71,17,54,8,10,16,37,1127.0,1210.0
2003Q2,84,16,69,8,13,17,47,1057.0,1125.0
2003Q3,99,31,68,10,11,26,52,1139.0,1202.0
2003Q4,95,21,74,8,10,17,60,1087.0,1182.0
2004Q1,80,19,61,7,10,18,46,1120.0,1205.0
2004Q2,84,28,56,10,11,18,45,1143.0,1188.0
2004Q3,92,37,55,15,10,16,52,1190.0,1289.0
2004Q4,90,36,54,11,11,19,49,1188.0,1312.0
2005Q1,79,30,49,10,10,13,46,1148.0,1273.0
