unemployment_rate_period,Unemployment_rate
1970Q1,4.166666666666667
1970Q2,4.766666666666667
1970Q3,5.166666666666667
1970Q4,5.833333333333333
1971Q1,5.933333333333334
1971Q2,5.900000000000001
1971Q3,6.033333333333334
1971Q4,5.933333333333334
1972Q1,5.766666666666667
1972Q2,5.7
1972Q3,5.566666666666666
1972Q4,5.366666666666667
1973Q1,4.933333333333334
1973Q2,4.933333333333334
1973Q3,4.8
1973Q4,4.766666666666667
1974Q1,5.133333333333333
1974Q2,5.2
1974Q3,5.633333333333333
1974Q4,6.6000000000000005
1975Q1,8.266666666666666
1975Q2,8.866666666666667
1975Q3,8.466666666666667
1975Q4,8.299999999999999
1976Q1,7.733333333333333
1976Q2,7.566666666666666
1976Q3,7.733333333333333
1976Q4,7.766666666666667
1977Q1,7.5
1977Q2,7.133333333333333
1977Q3,6.8999999999999995
1977Q4,6.666666666666667
1978Q1,6.333333333333333
1978Q2,6.0
1978Q3,6.033333333333334
1978Q4,5.8999999999999995
1979Q1,5.866666666666667
1979Q2,5.7
1979Q3,5.866666666666667
1979Q4,5.966666666666666
1980Q1,6.3
1980Q2,7.333333333333333
1980Q3,7.666666666666667
1980Q4,7.3999999999999995
1981Q1,7.433333333333334
1981Q2,7.3999999999999995
1981Q3,7.3999999999999995
1981Q4,8.233333333333334
1982Q1,8.833333333333334
1982Q2,9.433333333333334
1982Q3,9.9
1982Q4,10.666666666666666
1983Q1,10.366666666666667
1983Q2,10.133333333333333
1983Q3,9.366666666666667
1983Q4,8.533333333333333
1984Q1,7.866666666666667
1984Q2,7.433333333333334
1984Q3,7.433333333333334
1984Q4,7.3
1985Q1,7.233333333333333
1985Q2,7.3
1985Q3,7.2
1985Q4,7.033333333333334
1986Q1,7.033333333333334
1986Q2,7.166666666666667
1986Q3,6.966666666666666
1986Q4,6.833333333333333
1987Q1,6.599999999999999
1987Q2,6.266666666666667
1987Q3,6.0
1987Q4,5.833333333333333
1988Q1,5.7
1988Q2,5.466666666666666
1988Q3,5.466666666666666
1988Q4,5.333333333333333
1989Q1,5.2
1989Q2,5.233333333333333
1989Q3,5.233333333333333
1989Q4,5.366666666666667
1990Q1,5.3
1990Q2,5.333333333333333
1990Q3,5.7
1990Q4,6.133333333333333
1991Q1,6.6000000000000005
1991Q2,6.833333333333333
1991Q3,6.866666666666667
