col_0,col_1,Purpose of construction,col_3,col_4,col_5,Design type,col_7,Square feet of floor area,col_9,col_10,Purpose of construction.1,col_12,Number of units in building,col_14,col_15,col_16,Square feet per unit,col_18
Period,Total2,Built for sale,,Contractor-,Owner-,Detached,Attached,Median,Average,Total,For,For,2 to 4,5 to 9,10 to 19,20 or more,Median,Average
,,Total,Fee simple3,built,built,,,,,,sale,rent,,,,,,
1974,888,501,453,205,174,822,66,(NA),(NA),450,131,319,68,(NA),(NA),(NA),(NA),(NA)
1975,892,531,511,190,164,854,38,(NA),(NA),268,45,223,64,(NA),(NA),(NA),(NA),(NA)
1976,1162,705,674,240,209,1107,55,(NA),(NA),375,63,312,86,(NA),(NA),(NA),(NA),(NA)
1977,1451,904,863,298,240,1377,74,(NA),(NA),536,90,446,122,(NA),(NA),(NA),(NA),(NA)
1978,1433,901,859,287,231,1347,86,(NA),(NA),587,131,456,125,(NA),(NA),(NA),(NA),(NA)
1979,1194,742,699,213,222,1096,98,(NA),(NA),551,173,378,122,(NA),(NA),(NA),(NA),(NA)
1980,852,526,491,149,164,774,78,(NA),(NA),440,163,277,110,(NA),(NA),(NA),(NA),(NA)
1981,705,426,390,122,148,628,77,(NA),(NA),379,158,221,91,(NA),(NA),(NA),(NA),(NA)
1982,663,409,369,108,133,577,86,(NA),(NA),400,140,259,80,(NA),(NA),(NA),(NA),(NA)
1983,1068,713,636,151,179,896,171,(NA),(NA),635,210,425,113,(NA),(NA),(NA),(NA),(NA)
1984,1084,728,632,157,165,875,210,(NA),(NA),665,206,459,121,(NA),(NA),(NA),(NA),(NA)
1985,1072,713,633,177,157,905,167,(NA),(NA),669,154,515,93,(NA),(NA),(NA),(NA),(NA)
1986,1179,782,702,204,166,1013,166,(NA),(NA),626,143,483,84,(NA),(NA),(NA),(NA),(NA)
1987,1146,732,659,208,178,1004,142,(NA),(NA),474,130,344,65,(NA),(NA),(NA),(NA),(NA)
1988,1081,709,656,196,154,968,113,(NA),(NA),407,99,307,59,(NA),(NA),(NA),(NA),(NA)
1989,1003,648,612,192,144,916,87,(NA),(NA),373,87,286,55,(NA),(NA),(NA),(NA),(NA)
1990,895,529,507,196,147,832,63,(NA),(NA),298,56,241,38,(NA),(NA),(NA),(NA),(NA)
1991,840,490,468,198,138,789,51,(NA),(NA),174,41,132,36,(NA),(NA),(NA),(NA),(NA)
1992,1030,618,583,224,168,958,72,(NA),(NA),170,41,128,31,(NA),(NA),(NA),(NA),(NA)
1993,1126,716,671,225,162,1031,95,(NA),(NA),162,44,118,29,(NA),(NA),(NA),(NA),(NA)
1994,1198,763,715,245,169,1091,107,(NA),(NA),259,52,206,35,(NA),(NA),(NA),(NA),(NA)
1995,1076,712,665,199,133,972,104,(NA),(NA),278,51,227,34,(NA),(NA),(NA),(NA),(NA)
1996,1161,774,720,218,144,1054,107,(NA),(NA),316,59,257,45,(NA),(NA),(NA),(NA),(NA)
1997,1134,784,728,189,131,1030,104,(NA),(NA),340,59,282,44,(NA),(NA),(NA),(NA),(NA)
1998,1271,882,824,209,144,1154,117,(NA),(NA),346,59,287,43,(NA),(NA),(NA),(NA),(NA)
