Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,In structures with--,,,Region,,,,,,,
Year,Total,1 unit,2 to 4,5 units,Northeast,,Midwest,,South,,West,
,,,units,or more,Total,1 unit,Total,1 unit,Total,1 unit,Total,1 unit
1959,1517,1234,(NA),(NA),268.7,(NA),367.4,(NA),511.4,(NA),369.5,(NA)
1960,1252.2,994.7,(NA),(NA),221.4,(NA),292,(NA),429.4,(NA),309.4,(NA)
1961,1313,974.3,(NA),(NA),246.3,(NA),277.7,(NA),472.7,(NA),316.3,(NA)
1962,1462.9,991.4,(NA),(NA),263.8,(NA),289.6,(NA),531.2,(NA),378.3,(NA)
1963,1603.2,1012.4,(NA),(NA),261,(NA),329.2,(NA),586.2,(NA),426.8,(NA)
1964,1528.8,970.5,108.3,450,254.5,147.2,339.7,226.7,577.8,419.4,356.9,177.2
1965,1472.8,963.7,86.7,422.5,270.2,162.7,361.5,226.5,574.7,415.7,266.3,158.8
1966,1164.9,778.6,61.2,325.1,206.5,126.6,288.3,189.3,472.5,332.9,197.6,129.9
1967,1291.6,843.9,71.7,376.1,214.9,126.5,337.1,214.2,519.5,364.6,220.1,138.5
1968,1507.6,899.4,80.7,527.3,226.8,132.6,368.6,223,618.5,373.6,293.7,170.3
1969,1466.8,810.6,85.1,571.2,206.1,122,348.7,183.3,588.4,342.1,323.5,163.3
1970,1433.6,812.9,84.9,535.9,217.9,112.9,293.5,166.4,611.6,377,310.5,156.5
1971,2052.2,1151,120.5,780.9,263.8,144.6,434.1,238.5,868.7,525.5,485.6,242.4
1972,2356.6,1309.2,141.2,906.2,329.5,169.6,442.8,255.5,1057,612.4,527.4,271.7
1973,2045.3,1132,118.2,795,277.3,155.3,439.7,269.2,899.4,477.5,428.8,229.9
1974,1337.7,888.1,68,381.6,183.2,119.4,317.3,225.3,552.8,367.1,284.5,176.2
1975,1160.4,892.2,64,204.3,149.2,112.2,294,221.6,442.1,365.9,275.1,192.5
1976,1537.5,1162.4,85.8,289.2,169.2,126.5,400.1,294.2,568.5,464.3,399.6,277.5
1977,1987.1,1450.9,121.7,414.4,201.6,156,464.6,336.8,783.1,588,537.9,370.2
1978,2020.3,1433.3,125.1,462,200.3,147.3,451.2,324.7,823.7,603.8,545.2,357.5
1979,1745.1,1194.1,122,429,177.9,123.3,349.2,243,747.5,522.2,470.5,305.6
1980,1292.2,852.2,109.5,330.5,125.4,87.1,218.1,141.5,642.7,428,306,195.6
1981,1084.2,705.4,91.2,287.7,117.3,84,165.2,109.8,561.6,363.2,240,148.4
1982,1062.2,662.6,80.1,319.6,116.7,79.3,149.1,98.8,591,357.4,205.4,127.1
1983,1703,1067.6,113.5,522,167.6,122.8,217.9,153.3,935.2,557.2,382.3,234.3
1984,1749.5,1084.2,121.4,543.9,204.1,158.3,243.3,167.2,866,528.4,436.1,230.2
1985,1741.8,1072.4,93.5,576,251.6,181.7,239.6,148.1,782.4,504,468.2,238.7
1986,1805.4,1179.4,84,542,293.5,227.6,295.8,187.5,733.1,503.6,483,260.7
1987,1620.5,1146.4,65.1,408.7,269,204.2,297.9,202.8,633.9,484.7,419.8,254.7
1988,1488.1,1081.3,58.7,348,235.3,181.3,274,193.6,574.9,442.8,403.9,263.6
