Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,In structures with--,,,Region,,,,,,,
Universe1,Month,Total,1 unit,2 to 4,5 units,Northeast,,Midwest,,South,,West,
,,,,units,or more,Total,1 unit,Total,1 unit,Total,1 unit,Total,1 unit
1959 Universe ,1959,1272.8,(NA),(NA),(NA),237.3,(NA),294.4,(NA),380.8,(NA),360.4,(NA)
,1960,1038.4,(NA),(NA),(NA),202.8,(NA),231.6,(NA),300.7,(NA),303.3,(NA)
,1961,1068.6,(NA),(NA),(NA),219.3,(NA),233.4,(NA),305.2,(NA),310.7,(NA)
,1962,1206.5,(NA),(NA),(NA),239.8,(NA),243.2,(NA),348.7,(NA),374.8,(NA)
1963 Universe,1963,1337.2,(NA),(NA),(NA),238,(NA),278,(NA),399.2,(NA),422.1,(NA)
,1964,1277.7,725.8,104.1,448,236.9,(NA),289.5,(NA),397.4,(NA),353.9,(NA)
,1965,1221.6,719.8,81.9,419.7,249.2,(NA),320.5,(NA),389.4,(NA),262.5,(NA)
,1966,947.5,568.8,57.2,321.4,185.5,(NA),248.8,(NA),319,(NA),194.1,(NA)
1967 Universe,1967,1057.8,619.4,67.5,370.9,197.5,(NA),287,(NA),357.3,(NA),216,(NA)
,1968,1287.6,689.5,75,523,207.9,(NA),323.3,(NA),466.6,(NA),289.7,(NA)
,1969,1269.3,626.7,80.5,562,187.1,(NA),311.1,(NA),449.8,(NA),321.4,(NA)
,1970,1233.5,619.9,81.5,532.1,197.1,(NA),264.2,(NA),463.4,(NA),308.8,(NA)
,1971,1783,894,117.7,771.5,243.1,(NA),397.2,(NA),660.9,(NA),481.8,(NA)
1972 Universe,1972,2006.6,970.4,136.4,899.9,300.5,(NA),389.6,(NA),794.4,(NA),522.1,(NA)
,1973,1749.2,855.5,111,782.7,248.9,(NA),358.1,(NA),721.9,(NA),420.2,(NA)
,1974,1081.3,646.7,61.9,372.5,159.9,(NA),238.4,(NA),407,(NA),276,(NA)
,1975,929.3,673.3,59.1,197.1,126.9,(NA),231.7,(NA),301.6,(NA),269.1,(NA)
,1976,1245.5,888.2,78.8,278.5,150.2,(NA),315.1,(NA),389.8,(NA),390.3,(NA)
,1977,1636.3,1130.4,114,392.1,175,(NA),380.7,(NA),554.8,(NA),525.8,(NA)
1978 Universe,1978,1660.3,1104.8,117,438.1,179.1,(NA),372.7,(NA),578.9,(NA),529.6,(NA)
,1979,1533.3,997.6,117,418.7,165.2,(NA),287.5,(NA),614,(NA),466.7,(NA)
,1980,1153.4,725.9,104.7,323,117.1,(NA),186.4,(NA),544,(NA),306,(NA)
,1981,956.7,585.8,86.7,284.2,107,(NA),134.1,(NA),475.6,(NA),240,(NA)
,1982,940.8,549,75.6,316.3,109.2,(NA),118.3,(NA),507.9,(NA),205.4,(NA)
,1983,1559.8,934.7,109.6,515.5,158.1,(NA),186.9,(NA),832.6,(NA),382.3,(NA)
1984 Universe,1984,1607.6,961.2,111.8,534.8,195.8,150.9,211,135.6,764.8,444.5,436,230.2
,1985,1662.8,996.7,91.1,575,249,179,228.9,138.2,721.5,445.6,463.4,233.9
,1986,1735.9,1111.2,83.4,541.4,288.9,223.4,286.7,178.4,679.9,451.2,480.4,258.2
,1987,1554.9,1081.3,64.7,408.7,267.4,202.6,287.8,193.2,585.9,436.7,413.9,248.8
,1988,1438.3,1032.7,57.6,348,232.8,178.8,265.3,185.7,540.4,408.7,399.8,259.5
,1989,1314.2,943.3,53.4,317.6,175.5,128.5,252.2,176.7,493.7,368.8,392.8,269.3
,1990,1130.9,835.9,37.4,257.7,127.2,101.6,239.1,179.2,439.2,332.4,325.3,222.7
